文件下载网址  =>  文件保存路径
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/res3.0/images/datePicker.png  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\images\datepicker.png
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/js2/swfobject.js  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\js\swfobject.js
http://n03.wbc.zhongzhihui.com/data/client/other/100986/2016/5/2016-05-30/6383182ec296453b9c70482f8f4ac2e1.jpg  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\picture\6383182ec296453b9c70482f8f4ac2e1.jpg
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/images/bg-garrow.png  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\images\bg-garrow.png
http://n03.wbc.zhongzhihui.com/data/client/other/50286/2016/9/2016-09-11/9193353217d74abb9069ccbbf4175893.jpg  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\picture\9193353217d74abb9069ccbbf4175893.jpg
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/images/Ybg09.png  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\images\ybg09.png
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/css/default/xubox_loading0.gif  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\images\xubox_loading0.gif
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/images/z-bg-reply.png  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\images\z-bg-reply.png
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/res3.0/js/jquery.nanoscroller.js  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\js\jquery.nanoscroller.js
http://n03.wbc.zhongzhihui.com/data/client/other/50286/2016/9/2016-09-01/34772b3ebf7d459babc70882e7480a39.jpg  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\picture\34772b3ebf7d459babc70882e7480a39.jpg
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/images/z-shareicon.png  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\images\z-shareicon.png
http://n03.wbc.zhongzhihui.com/data/client/other/50286/2016/9/2016-09-01/8fe762f019764d928698f013493ab027.png  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\picture\8fe762f019764d928698f013493ab027.png
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/js/jquery-1.11.2.min.js  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\js\jquery-1.11.2.min.js
http://www.hzecps.org/res3.0/images/platLogo.png  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\picture\platlogo.png
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/res3.0/js/lunbo.js  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\js\lunbo.js
http://n03.wbc.zhongzhihui.com/resources/gov/PE_city3.0/css/default/xubox_loading1.gif  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\images\xubox_loading1.gif
http://n03.wbc.zhongzhihui.com/data/client/other/50286/2016/9/2016-09-01/708a8272dd0844358b80a18629183f5a.jpg  =>  E:\WorkSpace\Sync_Floder\Soft\for-work\www.hzecps.org\picture\708a8272dd0844358b80a18629183f5a.jpg
